CustomerKey,FirstName,LastName,MaritalStatus,Gender,EmailAddress,YearlyIncome
11003,Christy,Zhu,S,F,christy12@adventure-works.com,70000
11004,Elizabeth,Johnson,S,F,elizabeth5@adventure-works.com,80000
11006,Janet,Alvarez,S,F,janet9@adventure-works.com,70000
11008,Rob,Verhoff,S,F,rob4@adventure-works.com,60000
11010,Jacquelyn,Suarez,S,F,jacquelyn20@adventure-works.com,70000
11014,Sydney,Bennett,S,F,sydney23@adventure-works.com,100000
11015,Chloe,Young,S,F,chloe23@adventure-works.com,30000
11017,Shannon,Wang,S,F,shannon1@adventure-works.com,20000
11021,Destiny,Wilson,S,F,destiny7@adventure-works.com,40000
11037,Chloe,Garcia,S,F,chloe27@adventure-works.com,40000
11049,Carol,Rai,S,F,carol8@adventure-works.com,40000
11052,Heidi,Lopez,S,F,heidi19@adventure-works.com,40000
11059,Ashlee,Andersen,S,F,ashlee19@adventure-works.com,80000
11063,Angela,Murphy,S,F,angela41@adventure-works.com,40000
11068,Tiffany,Liang,S,F,tiffany17@adventure-works.com,80000
11069,Carolyn,Navarro,S,F,carolyn30@adventure-works.com,80000
11071,Linda,Serrano,S,F,linda31@adventure-works.com,80000
11072,Casey,Luo,S,F,casey6@adventure-works.com,80000
11073,Amy,Ye,S,F,amy16@adventure-works.com,70000
11075,Felicia,Jimenez,S,F,felicia4@adventure-works.com,80000
11077,Leah,Ye,S,F,leah7@adventure-works.com,80000
11078,Gina,Martin,S,F,gina1@adventure-works.com,40000
11082,Angela,Butler,S,F,angela17@adventure-works.com,130000
11085,Emily,Johnson,S,F,emily1@adventure-works.com,60000
11089,Abigail,Price,S,F,abigail25@adventure-works.com,80000
11098,Mallory,Rubio,S,F,mallory7@adventure-works.com,60000
11100,Latasha,Navarro,S,F,latasha10@adventure-works.com,60000
11101,Abby,Sai,S,F,abby4@adventure-works.com,70000
11102,Julia,Nelson,S,F,julia7@adventure-works.com,80000
11103,Cassie,Chande,S,F,cassie13@adventure-works.com,70000
11105,Candace,Fernandez,S,F,candace15@adventure-works.com,70000
11108,Kari,Alvarez,S,F,kari25@adventure-works.com,70000
11114,Leslie,Moreno,S,F,leslie7@adventure-works.com,70000
11120,Beth,Jiménez,S,F,beth8@adventure-works.com,40000
11125,Dana,Navarro,S,F,dana2@adventure-works.com,70000
11129,Julia,Wright,S,F,julia17@adventure-works.com,40000
11132,Melissa,Richardson,S,F,melissa31@adventure-works.com,30000
11133,Angela,Griffin,S,F,angela23@adventure-works.com,30000
11136,Brianna,Morgan,S,F,brianna30@adventure-works.com,40000
11139,Tanya,Moreno,S,F,tanya2@adventure-works.com,30000
11145,Jasmine,Coleman,S,F,jasmine46@adventure-works.com,40000
11146,Karla,Goel,S,F,karla20@adventure-works.com,40000
